index;count;date;enddate;entity_text;entity_type;levenshtein;match_type;newspaper;party;politician;relevance;response_id;role;search_term;sentiment;sentiment_id;startdate;url;datetimedelta;sentimentcategory
2018-04-26;1;2018-04-26;2018-04-27;Markus SÃ¶der;Person;-1;1;www.zeit.de;CSU;Markus SÃ¶der;0.599525;6838051f-2fae-47f9-aa8a-4612981369be;state premier;Markus SÃ¶der;-0.847437;8e361f4d-61b9-4d52-867c-9ceb0ef1a6e8;2018-04-24;https://www.zeit.de/2018/18/markus-soeder-kreuze-bayern-behoerden;478.0;negative
2018-04-26;1;2018-04-26;2018-04-27;Olaf Scholz;Person;-1;1;www.welt.de;SPD;Olaf Scholz;0.622843;6ebc6b11-a12a-4894-bfad-feace95a83c8;deputy chairperson;Olaf Scholz;0.0;9277b085-d6bc-4679-a686-fc835ad9ae64;2018-04-26;https://www.welt.de/newsticker/dpa_nt/infoline_nt/schlaglichter_nt/article175873337/Scholz-Griechenlands-Situation-deutlich-verbessert.html;478.0;neutral
2018-04-26;1;2018-04-26;2018-04-27;FDP;Organization;-1;2;www.zeit.de;FDP;FDP;0.150723;6838051f-2fae-47f9-aa8a-4612981369be;party name;Markus SÃ¶der;0.0;63c4cf7a-4a41-466d-802d-79c5cd35d659;2018-04-24;https://www.zeit.de/gesellschaft/zeitgeschehen/2018-04/markus-soeder-csu-kreuz-christentum-behoerden-bayern;478.0;neutral
2018-04-26;1;2018-04-26;2018-04-27;SPD;Organization;-1;2;www.tagesschau.de;SPD;SPD;0.0580023;cb548c60-cea4-42c9-a56c-e45f87991419;party name;Heiko Maas;0.0;46e088cb-2b04-4d40-9cb7-cfdf3ac483b3;2018-04-25;https://www.tagesschau.de/multimedia/video/video-425801.html;478.0;neutral
2018-04-26;1;2018-04-26;2018-04-27;Spahn;Person;5;4;www.tagesschau.de;CDU;Jens Spahn;0.130538;cb548c60-cea4-42c9-a56c-e45f87991419;minister government 2;Heiko Maas;-0.550238;e9e4053b-5f77-4130-b66d-3b11ca871527;2018-04-25;https://www.tagesschau.de/multimedia/video/video-425801.html;478.0;negative
2018-04-26;1;2018-04-26;2018-04-27;Linke;Organization;-1;2;www.neues-deutschland.de;Die Linke;Die Linke;0.133407;8495a217-76bc-4ac0-9822-fbc4f8ddf3f8;party name;NPD;0.0;7d11fb07-6aaf-41d7-8ee0-159ca1b51cce;2018-04-26;https://www.neues-deutschland.de/tag/NPD;478.0;neutral
2018-04-26;3;2018-04-26;2018-04-27;SPD;Organization;-1;2;www.welt.de;SPD;SPD;0.142184;6ebc6b11-a12a-4894-bfad-feace95a83c8;party name;Olaf Scholz;0.0;2cb9210a-6a28-4598-8f81-b5b53aa38d54;2018-04-26;https://www.welt.de/newsticker/news1/article175906991/Haushalt-Finanzminister-Scholz-plant-2019-Ausgaben-von-rund-356-Milliarden-Euro.html;478.0;neutral
2018-04-26;1;2018-04-26;2018-04-27;Olaf Scholz;Person;-1;1;www.welt.de;SPD;Olaf Scholz;0.134462;6ebc6b11-a12a-4894-bfad-feace95a83c8;deputy chairperson;Olaf Scholz;0.0;d0439357-8f9b-4618-a3eb-af09d8ee5747;2018-04-26;https://www.welt.de/newsticker/news1/article175906991/Haushalt-Finanzminister-Scholz-plant-2019-Ausgaben-von-rund-356-Milliarden-Euro.html;478.0;neutral
2018-04-26;3;2018-04-26;2018-04-27;SPD;Organization;-1;2;www.focus.de;SPD;SPD;0.302221;6a42977a-bb7e-402c-b88f-8af796d9b9c8;party name;Die Linke;0.0;0ba9a994-7cd8-410d-bdb7-8077c689751a;2018-04-26;https://www.focus.de/regional/freiburg/wahlen-linke-tritt-in-freiburg-erneut-gegen-oberbuergermeister-an_id_8829607.html;478.0;neutral
2018-04-26;1;2018-04-26;2018-04-27;Christian Lindner;Person;-1;2;www.zeit.de;FDP;Christian Lindner;0.270238;6838051f-2fae-47f9-aa8a-4612981369be;chairperson;Markus SÃ¶der;0.0;a8cb09cf-06be-4c3c-96c7-9969f0a72185;2018-04-24;https://www.zeit.de/gesellschaft/zeitgeschehen/2018-04/markus-soeder-csu-kreuz-christentum-behoerden-bayern;478.0;neutral
2018-04-26;2;2018-04-26;2018-04-27;CSU;Organization;-1;2;www.zeit.de;CSU;CSU;0.180908;6838051f-2fae-47f9-aa8a-4612981369be;party name;Markus SÃ¶der;0.0;b089dcda-2d03-4b31-8318-bb8344e3ef88;2018-04-24;https://www.zeit.de/gesellschaft/zeitgeschehen/2018-04/markus-soeder-csu-kreuz-christentum-behoerden-bayern;478.0;neutral
2018-04-26;2;2018-04-26;2018-04-27;AfD;Organization;-1;2;www.n-tv.de;AfD;AfD;0.38131;944cbe66-87b1-489c-a47d-e496dbd9d05d;party name;Dorothee BÃ¤r;-0.894079;ca5befcb-a511-41a6-9fef-daba6299a8c3;2018-04-25;https://www.n-tv.de/mediathek/videos/politik/Kritik-an-Ankerzentren-fuer-Asylbewerber-waechst-article20403385.html;478.0;negative
2018-04-26;1;2018-04-26;2018-04-27;CSU;Organization;-1;2;www.n-tv.de;CSU;CSU;0.297418;944cbe66-87b1-489c-a47d-e496dbd9d05d;party name;Dorothee BÃ¤r;-0.894079;b17f31ac-e5d8-4828-819d-bbaa786ddb22;2018-04-25;https://www.n-tv.de/mediathek/videos/politik/EU-will-konsequenter-gegen-Fake-News-vorgehen-article20407001.html;478.0;negative
2018-04-26;3;2018-04-26;2018-04-27;NPD;Organization;-1;1;www.neues-deutschland.de;NPD;NPD;0.349531;8495a217-76bc-4ac0-9822-fbc4f8ddf3f8;party name;NPD;0.0;da38aaa6-845d-401f-a1cc-c5a525bfcece;2018-04-26;https://www.neues-deutschland.de/artikel/1086675.staatliche-finanzierung-der-npd-fluegelstutzen.html;478.0;neutral
2018-04-26;1;2018-04-26;2018-04-27;AfD;Organization;-1;2;www.neues-deutschland.de;AfD;AfD;0.0549106;8495a217-76bc-4ac0-9822-fbc4f8ddf3f8;party name;NPD;0.64752;47011a02-7237-4cc4-bd08-368cb997aef7;2018-04-26;https://www.neues-deutschland.de/artikel/1086675.staatliche-finanzierung-der-npd-fluegelstutzen.html;478.0;positive
2018-04-26;1;2018-04-26;2018-04-27;Maas;Person;6;3;www.tagesschau.de;SPD;Heiko Maas;0.0895017;cb548c60-cea4-42c9-a56c-e45f87991419;minister government 1;Heiko Maas;0.0;2737baee-3f46-4819-acd5-9302b19e234a;2018-04-25;https://www.tagesschau.de/ausland/syrien-deutschland-103.html;478.0;neutral
2018-04-26;1;2018-04-26;2018-04-27;Bettina Schulz;Person;4;4;www.zeit.de;SPD;Martin Schulz;0.129678;049000b8-7b5a-45ca-911d-0007ee289514;chairperson;Junge Liberale;0.0;65c4db1f-e57d-463f-a107-0855ed0f9976;2018-04-26;https://www.zeit.de/thema/oxford;478.0;neutral
2018-04-26;1;2018-04-26;2018-04-27;CSU;Organization;-1;2;www.focus.de;CSU;CSU;0.0271971;6a42977a-bb7e-402c-b88f-8af796d9b9c8;party name;Die Linke;-0.90035;f33a74b1-2928-4a93-8301-b1ff9020fd46;2018-04-26;https://www.focus.de/politik/deutschland/muenchen-sowas-habe-ich-noch-nie-erlebt-jugendliche-randalieren-im-englischen-garten_id_8842278.html;478.0;negative
2018-04-26;1;2018-04-26;2018-04-27;Linke Parteien;Organization;10;3;www.focus.de;Die Linke;Die Linke;0.0285929;6a42977a-bb7e-402c-b88f-8af796d9b9c8;party name;Die Linke;0.0;1f7fe45b-0788-46b4-9676-74f6b731d002;2018-04-26;https://www.focus.de/politik/deutschland/muenchen-sowas-habe-ich-noch-nie-erlebt-jugendliche-randalieren-im-englischen-garten_id_8842278.html;478.0;neutral
2018-04-26;1;2018-04-26;2018-04-27;Christine Buchholz;Person;-1;2;www.faz.net;Die Linke;Christine Buchholz;0.190246;40dbe540-f990-43f2-a521-16052a2d0e29;member of federal parliament 1;CSU;0.0;3d5b35fc-db95-427c-918a-4e5918e43192;2018-04-26;http://www.faz.net/aktuell/politik/markus-soeders-kruzifix-erlass-erreicht-den-bundestag-15563356.html;478.0;neutral
2018-04-26;1;2018-04-26;2018-04-27;Die Linke;Organization;-1;2;www.zeit.de;Die Linke;Die Linke;0.135408;049000b8-7b5a-45ca-911d-0007ee289514;party name;Junge Liberale;-0.769506;68a32f19-c68f-4555-9f0f-ae85ef58ee7f;2018-04-26;https://www.zeit.de/thema/helmut-gollwitzer;478.0;negative
2018-04-26;1;2018-04-26;2018-04-27;De MaiziÃ¨re;Person;7;4;www.zeit.de;CDU;Thomas de MaiziÃ¨re;0.129816;049000b8-7b5a-45ca-911d-0007ee289514;minister government 1;Junge Liberale;0.0;bbd474f0-7f96-4850-8487-b806b6861562;2018-04-26;https://www.zeit.de/thema/rabat;478.0;neutral
2018-04-26;1;2018-04-26;2018-04-27;Markus SÃ¶der;Person;-1;2;www.faz.net;CSU;Markus SÃ¶der;0.206247;40dbe540-f990-43f2-a521-16052a2d0e29;state premier;CSU;-0.746313;7aade0e4-3a3f-43e0-b89f-feb7420b2adb;2018-04-26;http://www.faz.net/aktuell/politik/markus-soeders-kruzifix-erlass-erreicht-den-bundestag-15563356.html;478.0;negative
2018-04-26;3;2018-04-26;2018-04-27;AfD;Organization;-1;2;www.faz.net;AfD;AfD;0.203204;40dbe540-f990-43f2-a521-16052a2d0e29;party name;CSU;0.0;f112317b-23c3-4ea9-8961-801d798d92ba;2018-04-26;http://www.faz.net/aktuell/politik/markus-soeders-kruzifix-erlass-erreicht-den-bundestag-15563356.html;478.0;neutral
2018-04-26;1;2018-04-26;2018-04-27;SÃ¶der;Person;7;4;www.faz.net;CSU;Markus SÃ¶der;0.200906;40dbe540-f990-43f2-a521-16052a2d0e29;state premier;CSU;0.0;8e99ed34-376b-437e-801c-c9480d69bed5;2018-04-26;http://www.faz.net/aktuell/politik/markus-soeders-kruzifix-erlass-erreicht-den-bundestag-15563356.html;478.0;neutral
2018-04-26;3;2018-04-26;2018-04-27;SPD;Organization;-1;2;www.faz.net;SPD;SPD;0.145268;40dbe540-f990-43f2-a521-16052a2d0e29;party name;CSU;-0.446064;5096590d-0048-4baf-a8f2-52860fc883e4;2018-04-26;http://www.faz.net/aktuell/politik/markus-soeders-kruzifix-erlass-erreicht-den-bundestag-15563356.html;478.0;negative
